============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.15-s090_1
  Generated on:           Apr 29 2023  02:38:04 pm
  Module:                 cv32e40x_core
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                  
            Gate             Instances    Area            Library         
--------------------------------------------------------------------------
C12T28SOI_LR_NOR2X3_P0             711    348.106    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_NOR2X5_P0              36     17.626    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_NOR2X7_P0              59     28.886    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_NOR3AX6_P0            153    124.848    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_NOR3X4_P0             785    512.448    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_NOR3X6_P0               9      5.875    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_NOR4ABX6_P0           372    424.973    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_NOR4X8_P0              75    110.160    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OA112X8_P0             59     57.773    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OA12X8_P0              53     43.248    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OA22X8_P0              24     27.418    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OAI12X6_P0            199    129.907    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OAI211X5_P0            82     80.294    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OAI21X5_P0              1      0.653    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OAI222X3_P0           103    134.477    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OAI22X5_P0           1496   1220.736    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OR2X16_P0               2      1.632    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OR2X33_P0               1      1.632    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_OR2X8_P0              193    125.990    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_PAO2X8_P0              32     36.557    C28SOI_SC_12_CORE_LR 
C12T28SOI_LR_XOR3X8_P0              18     41.126    C28SOI_SC_12_CORE_LR 
--------------------------------------------------------------------------
total                            28233  70297.421                         


       Library       Instances    Area   Instances % 
-----------------------------------------------------
C28SOI_SC_12_CLK_LR        824   801.638         2.9 
C28SOI_SC_12_CORE_LR     27409 69495.782        97.1 

                                                        
            Type             Instances    Area   Area % 
--------------------------------------------------------
sequential                       14191 53268.970   75.8 
inverter                           895   330.643    0.5 
buffer                              31    35.578    0.1 
clock_gating_integrated_cell       274   581.318    0.8 
unresolved                           1     0.000    0.0 
logic                            12842 16080.912   22.9 
physical_cells                       0     0.000    0.0 
--------------------------------------------------------
total                            28234 70297.421  100.0 

